
0	38
1	36
2	56
3	81
4	98
5	8
6	54
7	90
8	33
9	62
10	2
11	35
12	95
13	52
14	94
15	7
16	5
17	34
18	13
19	57
20	18
21	66
22	22
23	44
24	6
25	97
26	43
27	86
28	47
29	87
30	45
31	11
32	48
33	55
34	27
35	85
36	9
37	53
38	65
39	69
40	72
41	74
42	24
43	29
44	67
45	21
46	16
47	31
48	59
49	61
50	46
51	71
52	0
53	25
54	96
55	3
56	41
57	4
58	32
59	63
60	30
61	91
62	15
63	60
64	14
65	23
66	51
67	37
68	26
69	83
70	1
71	75
72	84
73	17
74	76
75	77
76	89
77	99
78	78
79	70
80	19
81	50
82	88
83	28
84	42
85	82
86	73
87	12
88	10
89	79
90	92
91	20
92	80
93	58
94	39
95	64
96	68
97	49
98	93
99	40


0	0
1	38
2	36
3	56
4	81
5	98
6	8
7	54
8	90
9	33
10	62
11	2
12	35
13	95
14	52
15	94
16	7
17	5
18	34
19	13
20	57
21	18
22	66
23	22
24	44
25	6
26	97
27	43
28	86
29	47
30	87
31	45
32	11
33	48
34	55
35	27
36	85
37	9
38	53
39	65
40	69
41	72
42	74
43	24
44	29
45	67
46	21
47	16
48	31
49	59
50	61
51	46
52	71
53	1
54	25
55	96
56	3
57	41
58	4
59	32
60	63
61	30
62	91
63	15
64	60
65	14
66	23
67	51
68	37
69	26
70	83
71	10
72	75
73	84
74	17
75	76
76	77
77	89
78	99
79	78
80	70
81	19
82	50
83	88
84	28
85	42
86	82
87	73
88	12
89	20
90	79
91	92
92	39
93	80
94	58
95	40
96	64
97	68
98	49
99	93


0	0
1	36
2	38
3	56
4	81
5	8
6	54
7	90
8	33
9	62
10	2
11	35
12	95
13	52
14	94
15	7
16	5
17	34
18	13
19	57
20	18
21	66
22	22
23	44
24	6
25	97
26	43
27	86
28	47
29	87
30	45
31	11
32	48
33	55
34	27
35	85
36	9
37	53
38	65
39	69
40	72
41	74
42	24
43	29
44	67
45	21
46	16
47	31
48	59
49	61
50	46
51	71
52	1
53	25
54	96
55	3
56	41
57	4
58	32
59	63
60	30
61	91
62	15
63	60
64	14
65	23
66	51
67	37
68	26
69	83
70	10
71	75
72	84
73	17
74	76
75	77
76	89
77	98
78	78
79	70
80	19
81	50
82	88
83	28
84	42
85	82
86	73
87	12
88	20
89	79
90	92
91	39
92	80
93	58
94	40
95	64
96	68
97	49
98	93
99	99


0	0
1	1
2	36
3	38
4	56
5	81
6	8
7	54
8	90
9	33
10	62
11	2
12	35
13	95
14	52
15	94
16	7
17	5
18	34
19	13
20	57
21	18
22	66
23	22
24	44
25	6
26	97
27	43
28	86
29	47
30	87
31	45
32	11
33	48
34	55
35	27
36	85
37	9
38	53
39	65
40	69
41	72
42	74
43	24
44	29
45	67
46	21
47	16
48	31
49	59
50	61
51	46
52	71
53	3
54	25
55	96
56	4
57	41
58	10
59	32
60	63
61	30
62	91
63	15
64	60
65	14
66	23
67	51
68	37
69	26
70	83
71	12
72	75
73	84
74	17
75	76
76	77
77	89
78	98
79	78
80	70
81	19
82	50
83	88
84	28
85	42
86	82
87	73
88	20
89	39
90	79
91	92
92	40
93	80
94	58
95	49
96	64
97	68
98	93
99	99


0	0
1	1
2	36
3	38
4	56
5	8
6	54
7	81
8	33
9	62
10	2
11	35
12	90
13	52
14	94
15	7
16	5
17	34
18	13
19	57
20	18
21	66
22	22
23	44
24	6
25	95
26	43
27	86
28	47
29	87
30	45
31	11
32	48
33	55
34	27
35	85
36	9
37	53
38	65
39	69
40	72
41	74
42	24
43	29
44	67
45	21
46	16
47	31
48	59
49	61
50	46
51	71
52	3
53	25
54	96
55	4
56	41
57	10
58	32
59	63
60	30
61	91
62	15
63	60
64	14
65	23
66	51
67	37
68	26
69	83
70	12
71	75
72	84
73	17
74	76
75	77
76	89
77	97
78	78
79	70
80	19
81	50
82	88
83	28
84	42
85	82
86	73
87	20
88	39
89	79
90	92
91	40
92	80
93	58
94	49
95	64
96	68
97	93
98	98
99	99


0	0
1	1
2	2
3	36
4	38
5	56
6	8
7	54
8	81
9	33
10	62
11	3
12	35
13	90
14	52
15	94
16	7
17	5
18	34
19	13
20	57
21	18
22	66
23	22
24	44
25	6
26	95
27	43
28	86
29	47
30	87
31	45
32	11
33	48
34	55
35	27
36	85
37	9
38	53
39	65
40	69
41	72
42	74
43	24
44	29
45	67
46	21
47	16
48	31
49	59
50	61
51	46
52	71
53	4
54	25
55	96
56	10
57	41
58	12
59	32
60	63
61	30
62	91
63	15
64	60
65	14
66	23
67	51
68	37
69	26
70	83
71	17
72	75
73	84
74	19
75	76
76	77
77	89
78	97
79	78
80	70
81	20
82	50
